Qty;Value;Device;Package;Parts;Description;Assembled by JLCPCB;PARTNO
8;78615/9C;78615/9C;786T;T1, T2, T3, T4, T5, T6, T7, T8;10mH General Purpose Pulse Transformer 1CT:1CT 56Vus;No;811-1261-5-ND
1;G-1005B;G-1005B;G-1005B;J4;"Power Barrel Connector Jack 2.50mm ID (0.098""), 5.50mm OD (0.217"") Through Hole, Right Angle";No;1939-G-1005B-ND
